Rank,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,country
20,86.13,El Naranjal,$5.25/lb,"$13,928.25",InterAmerican Coffee GmbH,Carlos Julio Diaz Peñaloza,1920 masl,Colombia,2014,Ibague,Tolima,"start to finish, cardamom, balanced.Body: full, syrupy, good body, very sweet, complex, well rounded","floral, dried apple grapefruit, pineapple, vanilla","malic, plums, raspberry, red fruits, complex fruit acids",,Colombia,Colombia
21,86.03,El Cucho,$4.40/lb,"$11,026.40","32cup, Cantata, DBC.nl, Vivasara, Caffénation",Emilio Bastidas Yela,2147 masl,Colombia,2014,Samaniego,Nariño,"plums, black tea, lingering spicy.Body: full bodied, creamy, bold, big coffee, heavy sticky fruits","red fruits, sugar cane, caramel, clove, cardamom, black current, clean, dried fruits","malic, tartaric, lactic, pleasant, orange, cherry",,,Colombia
22,85.97,El Naranjo,$4.10/lb,"$13,899.00","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Omar Henry Cuaji Guevara,1949 masl,Colombia,2014,Sotara,Cauca,"transparent, clean, refreshing, grapefruit toffee. Body: soft, sugary, and delicate","chocolate, fruit, cardamom, lemon lime, plum jam, cedar","citrus, lime, malic",,Colombia 20% Castillo 80% ,Colombia
23a,85.84,Cortina de Hierro,$4.20/lb,"$11,466.00","Wataru & Co., Ltd",Leonid Ramirez Conde,1900 masl,Colombia,2014,Genova,Quindio,"Body: smooth, juice","floral, banana, jasmine, candy fruit, Caramel, jammy apricot, plum, blackberry, apricot","lime and grapefruit juice, complex",,Castillo,Colombia
23b,85.84,Hueco Lindo,$4.20/lb,"$10,537.80","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, NIRVANA Coffee, Beanstore(Buchon), Crema Costa",Jaime Bolanos Lasso,1846 masl,Colombia,2014,San Lorenzo,Nariño,"classic profile.Body: silky, medium, full round","floral green grape sweet chocolate, brown sugar, tropical fruits","zest, strawberry, delicate, sparling",,,Colombia
24,85.78,Limoncito,$4.90/lb,"$12,107.90",Kaffebrenneriet as,Jaime Narvaez Ibarra,1879 masl,Colombia,2014,El Tablon,Nariño,"Body: creamy, milky clean","sweet exotic, caramel, guava, current, sweet","citric, juicy, raspberry",,,Colombia
25a,85.75,La Hermosa,$5.75/lb,"$14,990.25","Single Origin Roasters, ONA Coffee",Karen Jackeline Montero,1530 masl,Colombia,2014,Santander,Cauca,balanced.Body: smooth,"tropical fruits butterscotch, marmalade, malty vanilla","citric, lively, vibrant, malic",,Castillo,Colombia
25b,85.75,Los Curos,$4.20/lb,"$10,470.60","RYANS COFFEE ROASTERS, S. W. Park, DILI KAPO COFFEE ROASTERS, CORNER HILL, KOALA COFFEE FACTORY, Cafe Si-Gom, Sim’s Coffee, Cafe Nara, Cafe Hong-si, Cafe Mule, Retro60 Coffee",Purificacion Ortiz Ortiz,1720 masl,Colombia,2014,Bucarasica,Norte de Santander,"Body: medium, milk, smooth, syrupy","caramel, honey, peaches, canned, brown sugar, pineapple","tartaric, mild, citric, sparkling, juicy, black cherry blue berry",,Castillo,Colombia
26a,85.63,San Sabastian,$4.00/lb,"$10,004.00","Wataru & Co., Ltd",Jaime Andres Romero Melo,1950 masl,Colombia,2014,Samaniego,Nariño,"better as cooled, creamy, good linger aftertaste.Body: apricot nectar, malt","toffee, floral, sweet, back berry rose hip","citric, orange, sweet, tart",,,Colombia
26b,85.63,Marmato,$4.20/lb,"$10,483.20","Bohemian(Anam-dong), Brilliant Coffee Roasters",Medardo Tuquerres Gomez,1840 masl,Colombia,2014,Almaguer,Cauca,"Body: medium, deep, well rounded, lush","rock candy black plum carob, sweet, apricot, red apple, dark chocolate","citrus, lingering, lime, guava",,,Colombia
27,85.41,Villa Maria,$4.25/lb,"$10,684.50","Nippon Coffee Trading Co.,Ltd",Jose Rodrigo Pantoja Arteaga,2069,Colombia,2014,Samaniego,Nariño,lingering aftertaste.Body: smooth creamy rich,"plum, floral, jasmine, strawberry, rhubarb, red wine, dark cocoa, bittersweet chocolate","high, citric, mallic, complex, structure",,,Colombia
28,85.03,El Jardin,$4.00/lb,"$10,000.00","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, NIRVANA Coffee, Beanstore(Buchon), Crema Costa",John Fernando Hernandez Barrero,1650 masl,Colombia,2014,Suaza,Hulia,"zesty lemon and lime, black tea.Body: medium","black current, bing cherry red fruit, nice tannins, bananas, coco plums","sweet and juicy, mild lime",,Caturra,Colombia
1,90.2,Buenavista,$14.50/lb,"$36,061.50","BANEXPORT SA, CAFE 18 (Colombia) // Cafe Imports (USA) // Wataru & Co., Ltd, Maruyama Coffee (Japan) // Cafe Libre (Korea) // Haru Cafe (Taiwan) // Campos Coffee (Australia) // C&C (Japan)",Astrid Medina Pereira,,Colombia,2015,Planadas,Tolima,"Fruit basket exploding in your mouth, creamy, lush body, very complex, fantastic long after taste, classic profile","Peach, mango, sugar cane, honey, cherry pie, blueberries, raspberry, dark chocolate, ginger, purple grapes, caramel, Nutella, coffee blossom","Touch of salt, limey, citric, tartaric, complex, malic, raspberry",,,Colombia
2,89.63,La Florida (2015),$10.00/lb,"$25,930.00","Time’s Club, Tashiro Coffee (Japan) // Coffee Libre (South Korea) // Proud Mary (Australia)",Gilberto Rojas Mosquera,,Colombia,2015,Acevedo,Huila,"Very stable and consistent, complex, multi-dimensional, opened up as it cooled","Caramel, chocolate, sugar cane, honey, molasses, Swiss chocolate, white grape, red apple, white peach, tea rose, jasmine, lilac, butter","Citric, mandarin, crisp, punchy",,,Colombia
3,88.85,El Porvenir (2015),$7.60/lb,"$18,901.20","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Raul Duran,,Colombia,2015,Planadas,Tolima,"Complete, structured, delicate, syrupy mouth feel","Red and green apple, panela, cacao, vanilla, dried apricot, mandarin, gingersnap, floral, winey, spearmint","Juicy, soft malic, very balanced, refined, very balanced, clean, lime zest",,,Colombia
4,88.75,El Placer,$6.70/lb,"$17,728.20","WATARU for FRESH ROASTER COFFEE TONYA CO.,LTD",Rafael Alberto Valenzuela,,Colombia,2015,Cajamarca,Tolima,"Consistent, long finish, balanced","Jasmine, savory, cinnamon, hickory, cedar, blackberry, cardamom, banana, tobacco, honey, anise, melon, mint, strawberry, black currant, green mango, nutmeg","Complex, refreshing, malic, tartaric, berries, green apple, snappy",,,Colombia
5,88.63,El Mirador,$6.61/lb,"$16,789.40","UCC Ueshima Coffee Co., Ltd.",Ananias Perez Santanilla,,Colombia,2015,Suaza,Huila,"Silky, lush, rich, savory and a little bit of salt","Maple syrup, cedar, tobacco, molasses, caramel popcorn, cinnamon sugar, dried fruit, lemon lime, mint, orange, jasmine, dried fruit","Delicate, structured, malic, ripe, pineapple",,,Colombia
6,88.58,San Isidro,$6.01/lb,"$15,265.40",Kaffebrenneriet as,Alirio Aguilera,,Colombia,2015,Palentina,Huila,"Creamy, thick, rich, very balanced, cherry coke","Plum, raisin, chocolate, Nutella, peanuts, cinnamon, plum, sugar cane, red berries, black cherry, peppermint","Tartaric, lime, orange, malic, lively and complex",,,Colombia
7a,88.3,Las Mercedes,$5.70/lb,"$14,478.00","ALMACIELO, De Ballon",Edgar Heladio Ossa,,Colombia,2015,Acevedo,Huila,"Delicate, rich, complex","Lime, orange blossom, lemon grass, pineapple, salted caramel, peach, sweet plum, blackberry, mango, papaya, passion bruit, panela, black tea","Very complex, malic, tartar and citric; zesty, lively, snappy, tangy",,,Colombia
7b,88.3,La Estrella,$5.40/lb,"$13,429.80",Caravela Coffee for Four Barrel Coffee,Luis Alejandro Ortega,,Colombia,2015,San Agustin,Huila,"Juicy, silky, syrupy, consistent, harmonious","Chocolate, hazelnut, vanilla, raisin, brown sugar, bergamot, dark cherry, vanilla, coconut, macadamia nut, orange liquor, cedar","Effervescent, malic, complex, citric",,,Colombia
9,87.7,Fortuna,$5.65/lb,"$15,243.70","32cup, Cantata, Dutch Barista, Viva Sara, 24Grad, Kaffitar",Yhoimar Afranio Enciso Villamil,,Colombia,2015,Planadas,Tolima,"Silky, layered, elegant, grapefruit","Pineapple, mint, peach, white grape, red currant, dry cherry, blueberries, lime, brown sugar, caramel","Tart, complex, zesty",,,Colombia
10,87.58,Peñitas,$5.40/lb,"$14,855.40",MareTerra 2003 S.L.,Alfredo Baos Joaqui,,Colombia,2015,Palentina,Huila,"Long finish, complex","Leather, clove, chocolate, cinnamon, nutmeg, molasses, lemon grass, black currant, lavender","Complex, tart, malic",,,Colombia
11,87.03,La Esmeralda,$5.80/lb,"$14,424.60",Cafe Imports,Luis Hernando Morales Arias,,Colombia,2015,Planadas,Tolima,"Lush, very sweet, balanced, juicy","Pineapple, apricot, cherry, mango, vanilla, candy orange, honey, spices, sweet citric, nuts, fig","Winey, structured, complex, mandarin orange",,,Colombia
12,86.98,El Descanso,$4.60/lb,"$11,684.00",NAGAHAMA COFFEE Inc.,Jose Heider Contreras Mancipe,,Colombia,2015,Guadalupe,Huila,"Winey, big body, long after taste, hints of tobacco","Brown sugar, coffee blossom, vanilla bean, sugar cane, apricot, cherry, savory","Malic, tartar, tangerine, grapefruit",,,Colombia
13,86.95,El Diviso-Sanjon,$5.15/lb,"$13,081.00",Tres Cabezas Berlin (Germany) // List & Beisler GmbH (Germany),Ana Nelly Luna Muñoz,,Colombia,2015,Pitalito,Huila,"Round, velvet body, transparent","Brown sugar, cinnamon, dried Bordeaux wine, cinnamon, cedar, peach, lime peel, cherry, peach, tea rose","Juicy, phosphoric, vibrant, bright, tart, tangerine",,,Colombia
14,86.93,Buenos Aires,$5.50/lb,"$13,678.50",MC FOODS LIMITED,Oscar Eduardo Alvarado Jojoa,,Colombia,2015,Pitalito,Huila,"Creamy, buttery, juicy","Honey, chocolate, strawberry, cherry, jasmine, lavender, passion fruit, perfumed floral, stone fruit, butterscotch","Tartaric, citric",,,Colombia
15,86.63,Miraflores,$4.60/lb,"$11,684.00",honuKATOCOFFEE Inc.,Orlando Perdomo,,Colombia,2015,Pitalito,Huila,"Silky, long sweet after taste, very balanced, fresh, delicate","Cinnamon, red apple, bergamot orange, lemon lime, apricot, red wine, tea rose","Bright, citric, tartar, crisp, pineapple, green apple",,,Colombia
16a,86.6,Consuelo,$4.71/lb,"$11,713.77","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Herley Rojas Alvarez,,Colombia,2015,Planadas,Tolima,"Rich, long after taste, silky, sweet finish","Chocolate, raisin, waffles, red currant, jammy melon, grape, cherry, apricot, lime, green apple, orange, sweet tea","Malic, citric, structured, Bartlett pear",,,Colombia
16b,86.6,Lote Alexandra – Finca…,$5.10/lb,"$12,683.70","32cup, Cantata, Dutch Barista, Viva Sara, 24Grad, Kaffitar",Martin Alvarez Moreno,,Colombia,2015,Pitalito,Huila,"Creamy, very sweet, better as it cooled","Honey, raisin, cedar, white grape, quince, blueberry, mandarin orange, yellow apple, cedar, jasmine","Intense tartaric, star fruits",,,Colombia
18,86.53,La Cuadra,$7.70/lb,"$19,966.10",Campos Coffee,Jorge Eliecer Rodriguez Sanchez,,Colombia,2015,Ragonvalia,Norte de Santander,"Creamy, transparent, smooth","Chocolate milk, butterscotch, baker's chocolate, maple sugar, sugar cane, vanilla, peach, yellow apple, green plantain, pepper spice, cedar","Bright, good citrus, tangerine",,,Colombia
19a,86.33,Las Brisas,$6.00/lb,"$14,922.00",Kyokuto Fadie Corporation,Libardo Bustos Rojas,,Colombia,2015,Planadas,Tolima,"Floral after taste, lingering, citronella","Cocoa, brown sugar, molasses, lemon grass, cherry, plum, cascara, blackberry, tropical flowers, winey","Winey, layered, elegant, mandarin",,,Colombia
19b,86.33,La Villa,$4.60/lb,"$11,684.00",DONGJIN TRADING,Roberto Carvajal Penagos,,Colombia,2015,Guadalupe,Huila,"Balanced, delicate, exotic, transparent, buttery mouth feel","Pineapple, blueberries, apple, grapefruit, grapefruit, dried apricot, lemon peel, sweet paprika, hibiscus flowers","Malic, phosphoric, citric",,,Colombia
21,86.28,Buenavista,$4.40/lb,"$11,176.00","Wataru & Co., Ltd.",Yubely Ramirez Cruz,,Colombia,2015,Pitalito,Huila,"Sweet, round, refreshing, juicy, orange zest, malt aftertaste","Peach, cherry, lemon, lemon grass, perfumed floral, panela, toffee, sweet corn","Bright, lively, complex, malic, crisp",,,Colombia
22,86.0,El Paraiso,$4.50/lb,"$11,907.00","Wataru & Co., Ltd.",Gonzalo Moreno Blanco,,Colombia,2015,Toledo,Norte de Santander,"Consistent, creamy, juicy, fresh after taste","Vanilla, dark chocolate, brown sugar, cinnamon, caramel, raisin, molasses, panela, papaya, black cherry","Clean, crisp, refined, lemon-lime, malic",,,Colombia
23,85.93,Lote Leonardo,$4.40/lb,"$11,176.00","Nippon Coffee Trading Co., Ltd.",Edgar Yony Melo Gomez,,Colombia,2015,Pitalito,Huila,"Good balance, delicate, multi-dimensional","Graham crackers, black tea, dark cherries, black grapes, dried figs, apricot, palmyra","Complex, crisp, elegant",,,Colombia
24,85.85,El Mirador,$4.50/lb,"$11,430.00",InterAmerican Coffee GmbH,Jose Ricardo Sanchez Molina,,Colombia,2015,Pitalito,Huila,"Creamy, eucalyptus","Caramel, brown sugar, sweet cloves, honey, buttered toast, toffee, tea rose, blackberry, cherries, tangerine, raisin","Citric, malic, delicate, complex, transparent, clean",,,Colombia
25,85.7,La Golondrina,$4.40/lb,"$11,176.00","Wataru & Co., Ltd.",Lourdes Meneses Gomez,,Colombia,2015,Pitalito,Huila,"Viscous, honey, creamy","Brown sugar, sweet chocolate, roasted nuts, sugar cane, cedar, sweet tobacco, spicy, pear",Very complex,,,Colombia
26,85.6,El Tolu (2015),$4.20/lb,"$21,113.40","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa",Manuel Duarte Orduz,,Colombia,2015,Herran,Norte de Santander,"Juicy; dense, smooth, silky body","Brown sugar, caramel, honey, chocolate, sugar cane, green apple, mint, rose, black cherry, raspberry, strawberry, citrus","Complex, crisp, bright, smooth",,,Colombia
27,85.53,Lucitania,$4.40/lb,"$10,942.80",Merlo Coffee,Victor Felix Ibarra Fajardo,,Colombia,2015,Garzon,Huila,"Round body, sweet finish","Malt, brown sugar, butterscotch, waffle, spice, coconut, white grapes, jasmine","Lively, tartaric, orange",,,Colombia
28,85.48,El Silencio,$4.61/lb,"$12,682.11","RYANS COFFEE ROASTERS, BROWNHOLIC COFFEE ROASTERS, DANAUTOBA, S.W.Park, Cafe Nara, Cafe Mule, Retro60 Coffee, Cafe 101, Cinestar.J.W., Happy Beans, Woojongho coffee, The Good-day",Oscar Ortiz Gonzalez,,Colombia,2015,Toledo,Norte de Santander,"Smooth, multidimensional","Spicy, molasses, vanilla, nuts, cedar, mint, lemon grass, cedar, banana, apple peel","Delicate, complex, floral, tartaric, crab apple",,,Colombia
29,85.4,Buenavista,$4.61/lb,"$11,709.40",honuKATOCOFFEE Inc.,Joaquin Ordoñez Buitron,,Colombia,2015,Pitalito,Huila,"Creamy, syrupy, spicy, floral","Chocolate, toffee, caramel, vanilla, rose blossom, gin bitters, peanut, savory undertones","Tangerine, red wine, strawberry, positive bitters, malic",,,Colombia
30,85.38,Caracol,$4.20/lb,"$10,668.00",DONGJIN TRADING,Antonio Maria Castro Diaz,,Colombia,2015,Pitalito,Huila,"Honeycomb, honey","Honey, malt, whiskey, cedar, scotch, macadamia nuts, star anise, tobacco, cherry, mango, orange","Lemon, grape, green apple",,,Colombia
31,85.25,La Miranda,$5.10/lb,"$12,954.00",Procafecol S.A.,Hiyder Adolfo Vargas Lezcano,,Colombia,2015,Caicedo,Antioquia,"Syrupy, ginger","Apple, persimmon, melon, cinnamon, coriander, cardamom, floral, lilacs, palmyra","Lively, complex, winey, peach, elegant",,,Colombia
1A,91.28,Mirador – El Naranjo 2017,$37.30/lb,"$12,334.74","Maruyama Coffee, Sarutahiko Coffee, Saza Coffee",Rodrigo Arley Diaz,1900-2200 m.a.s.l.,Colombia,2017,Buesaco,Nariño,"Opened up on cool, improved, silky, smooth.","Strawberry, apple, chamomile, orange, jasmine, orange, complex, mint, green apple, green grape, lemon meringue, creamy and smooth mouthfeel.","Malic, citric, white grapes, lactic.",Washed,Caturra Castillo,Colombia
1B,91.28,Mirador – El Naranjo 2017,$37.30/lb,"$12,334.74","Nippon Coffee Trading Co., Ltd.",Rodrigo Arley Diaz,1900-2200 m.a.s.l.,Colombia,2017,Buesaco,Nariño,"Opened up on cool, improved, silky, smooth.","Strawberry, apple, chamomile, orange, jasmine, orange, complex, mint, green apple, green grape, lemon meringue, creamy and smooth mouthfeel.","Malic, citric, white grapes, lactic.",Washed,Caturra Castillo,Colombia
2A,90.78,La Maria 2017,$40.30/lb,"$13,326.81","Campos Coffee, Maruyama Coffee, Saza Coffee",Orlando Ospina Salazar,1750 m.a.s.l.,Colombia,2017,La Mesa,Cundinamarca,"Floral, boozy, papaya, consistent, dense.","Granadilla, raisin, passionfruit, raspberry, winy, guava, violet, rhubarb, plum, cherry, lime, improved on cool.","Complex, tangerine, bright fruit.",Natural,Gesha,Colombia
2B,90.78,La Maria 2017,$38.20/lb,"$12,632.36",Haru International Corporation,Orlando Ospina Salazar,1750 m.a.s.l.,Colombia,2017,La Mesa,Cundinamarca,"Floral, boozy, papaya, consistent, dense.","Granadilla, raisin, passionfruit, raspberry, winy, guava, violet, rhubarb, plum, cherry, lime, improved on cool.","Complex, tangerine, bright fruit.",Natural,Gesha,Colombia
3A,90.63,Costa Rica 2017,$16.12/lb,"$6,396.90",hirocoffee,Abdias Lasso Muñoz,1800 - 1900 mts,Colombia,2017,San Pedro de Cartago,Nariño,"Creamy, tamarind, molasses","Blood orange, hibiscus, mango, kiwi, blueberry, strawberry, raisins, watermelon, cinnamon, plum, cherry, red grape, honey.","Malic, all the acids.",Honey,Caturra,Colombia
3B,90.63,Costa Rica 2017,$16.00/lb,"$6,349.28",Haru International Corporation,Abdias Lasso Muñoz,1800 - 1900 mts,Colombia,2017,San Pedro de Cartago,Nariño,"Creamy, tamarind, molasses","Blood orange, hibiscus, mango, kiwi, blueberry, strawberry, raisins, watermelon, cinnamon, plum, cherry, red grape, honey.","Malic, all the acids.",Honey,Caturra,Colombia
4A,90.25,Llano Redondo 2017,$16.30/lb,"$6,468.33","Intelligentsia, Terarosa, Single O, Seven Seeds",Angel Maria López Loaiza,2.100 m.a.s.l,Colombia,2017,Buesaco,Nariño,"Juicy, dense, viscous.","Brown sugar, papaya, caramel, baking spices, red currant, plum, jammy, orange, passionfruit, lime, kiwi, melon.","Phosphoric, complex, integrated, tangy, crisp.",Washed,Caturra Castillo,Colombia
4B,90.25,Llano Redondo 2017,$16.00/lb,"$6,349.28",Kyokuto Fadie Corporation,Angel Maria López Loaiza,2.100 m.a.s.l,Colombia,2017,Buesaco,Nariño,"Juicy, dense, viscous.","Brown sugar, papaya, caramel, baking spices, red currant, plum, jammy, orange, passionfruit, lime, kiwi, melon.","Phosphoric, complex, integrated, tangy, crisp.",Washed,Caturra Castillo,Colombia
5A,90.19,La Loma 2017,$13.10/lb,"$6,931.34",Saza Coffee,José Antonio Gualguan Espada,2.100 m.a.s.l,Colombia,2017,Buesaco,Nariño,"Peach, elegant and improved on cool, score, buttery mouthfeel, super balanced.","Caramel, chocolatey, cocoa, apricot jam, butterscotch, rose tea, orange, grandaillia, floral, white sugar, golden raisin.","Citrus, sweet lime, brilliant, transparent, well balanced, consistent.",Washed,Caturra,Colombia
5B,90.19,La Loma 2017,$13.01/lb,"$6,023.24",Dutch Barista Coffee Company,José Antonio Gualguan Espada,2.100 m.a.s.l,Colombia,2017,Buesaco,Nariño,"Peach, elegant and improved on cool, score, buttery mouthfeel, super balanced.","Caramel, chocolatey, cocoa, apricot jam, butterscotch, rose tea, orange, grandaillia, floral, white sugar, golden raisin.","Citrus, sweet lime, brilliant, transparent, well balanced, consistent.",Washed,Caturra,Colombia
6A,90.11,La España 2017,$14.10/lb,"$5,595.30",Campos Coffee,Duberney Cifuentes Fajardo,1750 m.a.s.l,Colombia,2017,Planadas,Tolima,"On cool sweetened, lingering, elegant, tropical.","Jasmine, rosehip, bergamot, lime, green tea, green mango, guava, coriander, juniper, stone fruit, caramelized honey, pear.","Sparkling, complex and vibrant, malic, bright citrus.",Washed,Caturra Gesha,Colombia
6B,90.11,La España 2017,$14.72/lb,"$5,841.34",WATARU FOR GOLPIE COFFEE,Duberney Cifuentes Fajardo,1750 m.a.s.l,Colombia,2017,Planadas,Tolima,"On cool sweetened, lingering, elegant, tropical.","Jasmine, rosehip, bergamot, lime, green tea, green mango, guava, coriander, juniper, stone fruit, caramelized honey, pear.","Sparkling, complex and vibrant, malic, bright citrus.",Washed,Caturra Gesha,Colombia
7,89.94,El Tesoro 2017,$12.10/lb,"$8,803.11",WATARU FOR GOLPIE COFFEE,Gildardo Cárdenas,2.050 m. a. s. l.,Colombia,2017,Planadas,Tolima,"Pomegranate, juicy, quenching, full-bodied, elegant.","Rose, blackberry jelly, chocolate, papaya, pear, black tea, caramel, mango, melon, tomato, malt, white cream strawberry, clear and crisp.","All the acids, malic, tartaric, phosphoric, abundant, crisp.",Washed,Castillo Caturra L8,Colombia
8,89.47,La Mina 2017,$28.30/lb,"$46,793.20","Terarosa (Haksan Co.Ltd), Intelligentsia",Franco Hector José López,1.900 m.a.s.l,Colombia,2017,Buesaco,Nariño,"Creamy, silken, balanced, honey, amber honey.","Orange, lemon, cranberry, chocolate, sugar cane, guava, sugar cane, floral, apple blossom.","Green apple, lime, white grape, lactic, sparkling, well balanced.",Washed,Caturra Colombia,Colombia
9,89.36,El Cairo 2 2017,$8.40/lb,"$11,666.84","Caravela, Four Barrel, Madcap, Olympia, Vigilante",Lucas Germán Melo Pinchao,2.000 - 2.300,Colombia,2017,Consaca,Nariño,Key lime.,"Floral, pineapple, dark chocolate, almond, toffee, savory, tomato black currant, nutmeg, dulce de leche, orange marmalade.","Tartaric, malic, delicate, sweet to the cool, transparent, well composed.",Washed,Caturra Colombia Typica,Colombia
10,88.33,San Vicente 2017,$7.90/lb,"$20,377.34","Wataru & Co., Ltd.",Libardo Cabrera,1900,Colombia,2017,Buesaco,Nariño,"Velvety, smooth, clear.","Blackberry, jammy, winey, tamarind, raisin, plum, blueberry, olive, cinnamon, spiced, maracuya.","Malic, tartaric, high intensity, acetic, mint, green grape.",Washed,Colombia,Colombia
11,88.31,La Estrella 2017,$8.10/lb,"$5,357.26",M.I. Coffee Corporation,Yinyini Avilez,1910,Colombia,2017,Planadas,Tolima,"Stone fruit, heavy bodied, and molasses.","Plum, fig, golden raisin, stewed fruit, and vanilla.","Medium acidity, citrus, and sparkling.",Natural,Colombia Castillo,Colombia
12,88.22,La Altamira 2017,$14.11/lb,"$12,131.78",Campos Coffee,Franco Alexis Garzón Rojas,1860 - 1900 m.a.s.l.,Colombia,2017,Planadas,Tolima,"Pomegranate, smooth, well structured, clean, delicate, improved on cool, maple syrup, nougat, fig, golden raisin, red apple.","Yellow fruits, peach, pineapple, cinnamon, red apple, granadilla, pomegranate, molasses, nougat, honeydew melon.","Soft, citric, grapefruit.",Washed,Colombia Tabi,Colombia
13,88.19,Cuchilla Loma Gorda 2017,$10.10/lb,"$12,024.05","BPC, Coffee Fiel",Luis Ancelmo Valencia Burbano,1860 - 1900 m.a.s.l.,Colombia,2017,Buesaco,Nariño,"Silky, and buttery.","Tart, jammy, honeydew melon, cantaloupe, and pear.","Malic, white grape, medium - high intensity",Washed,Caturra Castillo,Colombia
14,88.16,La Mina 2 2017,$9.10/lb,"$25,278.25",Kyokuto Fadie Corporation,Franco Hector José López,1950-2080 m.a.s.l.,Colombia,2017,Buesaco,Nariño,"Full bodied, balanced, clean.","Papaya, honey, white wine, blackberry jelly, currant, soda, ginger ale.","Malic acid, sparkling, plush.",Honey,Castillo,Colombia
15,87.78,El Remanso,$12.10/lb,"$9,603.29",Terarosa (Haksan Co.Ltd),Albeiro Roa Ipuz,1620-1860,Colombia,2017,Neiva,Hulia,"Quenching, silky.","Floral, red fruit, berry, cocoa, brown sugar, marzipan, crisp, raisin, apple, cinnamon, plum pudding, stewed fruit, star fruit.","Malic, tartaric, high intensity, sweet.",Washed,Caturra,Colombia
16,87.66,Bateas 2017,$10.10/lb,"$7,348.05","BPC, Coffee Fiel",Fildardo Varón Paya,1674 - 1900,Colombia,2017,Planadas,Tolima,"Smooth and rich, stone fruit.","Buttery, quava, milk choc, orange, mandarin, grapefuit, cinnamon, struedel, raisin, chammile, tamarind, filbert.","Citric, mango, malic, sparkling, med-high intensity.",Washed,Caturra Typica,Colombia
17,87.56,Betel 2017,$8.10/lb,"$14,464.49","TRES CABEZAS/Berlin, List & Beisler/Hamburg, Copenhagen Roaster",Luis Arnobi Rodriguez Murcia,1650 - 1700 m.a.s.l.,Colombia,2017,Algeciras,Hulia,"Peach, clean, crisp.","Papaya, lemongrass, stone fruit, guava, orange canteloupel, lemon, caramel, chocolate, nice mouthfeel, and minty.",Citric.,Washed,Colombia,Colombia
18,87.5,San Francisco 2017,$10.10/lb,"$12,024.05",MOMOS COFFEE,Jorge Enrique Diaz,2000 - 2180 m.a.s.l.,Colombia,2017,Buesaco,Nariño,"Syrupy, buttery, maple syrup, apricot.","Apple, plum, raisin, peach, cinnamon, floral, honey, toffee, cantaloupe, nectarine, brown sugar.","Lactic, creamy, lemon, citric.",Washed,Caturra Castillo,Colombia
19,87.44,La Miranda 2017,$7.30/lb,"$9,656.22",Parisi Artisan Coffee / Paris Brothers,Hever Arias Cespedes,1820 - 1980 mts,Colombia,2017,Planadas,Tolima,"Candied sweetness, berry.","Vanilla, honey, candied grapefruit, blood orange, syrup, sweet lemon, Meyer lemon, guava, lime and soft sugar, pear, malted, tamarind.","Lively, citric, well balanced, tartaric.",Washed,Caturra Colombia,Colombia
20,87.42,El Bosque Del Livano,$7.70/lb,"$6,111.18",Ecom Japan Limited,Gonzalo Cifuentes,1930 - 2050 m.a.s.l.,Colombia,2017,Planadas,Tolima,"Creamy, silky smooth, viscous, dense, raisin, caramel, green melon, plum.","Swiss chocolate, red apple, molasses, baking spices, honeysuckle, sweet orange. guava, strawberry sugarcane, lemon peel.","High intensity, well structured, tartaric, lemon-citric, big part of the coffee.",Washed,Caturra,Colombia
21,87.38,La Bohemia 2017,$7.00/lb,"$12,037.27","Wataru & Co., Ltd.",Raquel Lasso Muñoz,1850 m.a.s.l.,Colombia,2017,San Pedro de Cartago,Nariño,"Cola, juicy, tea-like and crisp, raspberry, cola, berry.","Papaya, peaches, cocoa, floral, green grape, lemon zest, cocoa butter, shortbread, green apple, green grapes, buttery, pineapple, delicate body, caramelized tomato.",Tartaric.,Washed,Caturra,Colombia
22,87.22,Los Laureles 2017,$7.30/lb,"$6,276.54","Wataru & Co., Ltd.",Javier Cruz Devia,"1,700 - 1,750 m.a.s.l.",Colombia,2017,Planadas,Tolima,"Graham cracker, ginger candy, juicy, improved on cool.","Blackberry, swiss chocolate, tangerine, honey, mandarin, sugar cane, graham cracker.","Malic, citric, lime.",Honey,Colombia,Colombia
23,87.19,Villa Sofía 2017,$10.10/lb,"$6,680.04",Campos Coffee,Wilson Eduardo Rodriguez Enciso,"1,700 - 1,900 m.a.s.l.",Colombia,2017,Planadas,Tolima,"Creamy, velvety, delicate, well rounded.","Honeycomb, melon, toffee, floral, peach, vanilla, rum raisin, honey, anise, cranberry, almond, red apple.","Grapes, blueberry, citric, malic.",Washed,Bourbón,Colombia
